id,genero,instrução,filhos,idade,altura,salário
681,Female,Human Resources,2,11,200,4916.82
682,Male,Accounting,0,74,131,4286.92
683,Female,Sales,3,28,195,1919.92
684,Male,Engineering,0,65,191,2469.78
685,Male,Legal,3,6,107,3866.7
686,Male,Product Management,3,79,147,2188.14
687,Female,Services,1,83,149,2494.88
688,Male,Sales,0,51,144,1014.35
689,Male,Services,1,13,181,3625.39
690,Male,Business Development,0,32,131,1528.12
691,Male,Accounting,0,62,136,1991.14
692,Female,Accounting,1,34,115,3480.25
693,Male,Legal,3,98,137,1473.68
694,Female,Research and Development,3,90,188,4448.13
695,Female,Product Management,2,6,132,1772.58
696,Female,Business Development,0,5,148,2714.71
697,Male,Training,1,17,175,2985.55
698,Female,Support,0,5,188,4440.21
699,Male,Legal,3,24,197,4001.8
700,Female,Legal,0,69,127,2390.91
701,Female,Training,0,55,197,3820.12
702,Male,Training,2,81,177,3601.43
703,Male,Services,3,41,187,2634.53
704,Male,Marketing,2,2,161,1517.97
705,Female,Engineering,3,59,144,4537.32
706,Male,Research and Development,2,60,194,2070.94
707,Female,Marketing,1,33,169,4559.75
708,Female,Legal,1,40,197,2374.94
709,Female,Legal,1,76,103,2930.8
710,Male,Support,1,63,146,3361.09
711,Male,Marketing,1,26,135,3865.55
712,Female,Product Management,0,7,159,4014.96
713,Female,Marketing,0,27,151,2810.8
714,Male,Human Resources,1,99,126,1277.77
715,Female,Sales,1,42,140,4304.79
716,Male,Legal,3,15,188,4862.0
717,Male,Training,1,35,177,2000.87
718,Female,Engineering,0,13,131,1012.03
719,Female,Services,3,12,184,4675.79
720,Male,Marketing,2,81,184,3188.32
721,Male,Marketing,0,80,137,2743.59
722,Female,Sales,0,13,179,3104.07
723,Male,Accounting,3,47,133,2899.06
724,Female,Marketing,3,25,168,1503.41
725,Male,Sales,1,95,104,2879.15
726,Male,Services,0,61,145,4438.05
727,Female,Services,0,70,151,2605.05
728,Female,Business Development,0,54,124,2834.15
729,Male,Legal,0,67,186,2274.56
730,Male,Support,3,61,160,3075.94
731,Female,Training,1,36,178,1365.2
732,Female,Human Resources,2,48,114,3011.81
733,Female,Legal,0,42,150,3470.33
734,Male,Support,2,68,122,4859.29
735,Male,Human Resources,2,46,148,1248.15
736,Female,Marketing,1,28,170,2194.08
737,Male,Services,2,41,118,1164.15
738,Male,Engineering,1,70,118,2605.72
739,Female,Services,0,58,159,1030.66
740,Male,Legal,3,47,110,4631.42
741,Male,Legal,1,65,156,1668.13
742,Male,Accounting,0,86,111,3003.18
743,Male,Sales,3,61,103,1576.56
744,Male,Sales,3,47,122,2096.0
745,Female,Product Management,3,12,132,2882.84
746,Female,Product Management,3,88,151,1667.98
747,Male,Sales,2,71,131,1422.08
748,Female,Marketing,1,68,148,2889.78
749,Male,Services,3,57,128,4691.9
750,Female,Marketing,2,99,110,1909.46
751,Male,Marketing,3,2,102,4633.9
752,Male,Research and Development,0,49,151,2811.58
753,Male,Legal,3,13,123,3079.77
754,Female,Legal,3,27,121,1488.49
755,Male,Sales,2,92,172,1816.92
756,Female,Sales,1,18,196,2827.4
757,Male,Support,0,24,144,4309.27
758,Male,Accounting,2,23,131,3143.11
759,Male,Product Management,0,87,158,3683.65
760,Female,Business Development,0,11,155,2607.97
761,Female,Engineering,2,53,187,2778.17
762,Male,Business Development,0,77,197,3506.75
763,Female,Research and Development,1,46,173,4622.68
764,Male,Training,3,46,192,2143.29
765,Female,Sales,0,23,138,1406.83
766,Male,Training,2,97,164,3494.8
767,Female,Training,3,27,132,4918.07
768,Female,Product Management,1,23,105,1886.33
769,Female,Support,1,58,147,4948.22
770,Female,Business Development,3,64,187,4140.0
771,Female,Engineering,3,91,101,1965.34
772,Female,Business Development,3,37,124,4933.63
773,Male,Accounting,1,69,184,1169.79
774,Female,Services,3,32,153,4893.52
775,Male,Services,2,15,128,3442.71
776,Male,Training,2,78,106,2886.71
777,Female,Support,3,31,108,2979.9
778,Male,Research and Development,0,55,149,3489.88
779,Male,Engineering,1,19,184,4739.57
780,Female,Sales,2,88,200,3517.72
781,Male,Product Management,1,95,111,3004.39
782,Male,Training,0,25,145,2531.24
783,Male,Marketing,1,67,198,2268.5
784,Female,Engineering,2,56,130,2920.84
785,Female,Accounting,0,89,153,3858.44
786,Female,Business Development,3,42,153,3156.82
787,Female,Human Resources,1,55,103,4489.76
788,Male,Business Development,2,88,108,3510.68
789,Male,Training,3,64,125,1451.2
790,Male,Training,2,30,123,2100.27
791,Male,Research and Development,1,79,174,1867.0
792,Male,Legal,0,42,127,2963.12
793,Male,Product Management,1,87,198,4892.11
794,Female,Services,0,98,127,3284.14
795,Male,Sales,3,75,129,1290.71
796,Male,Support,0,92,127,4907.25
797,Male,Product Management,1,31,153,4154.36
798,Female,Business Development,2,36,166,1680.12
799,Male,Engineering,1,75,133,4054.57
800,Female,Legal,2,91,180,2203.7
801,Male,Research and Development,3,28,170,4707.1
802,Female,Marketing,1,28,188,3545.55
803,Female,Marketing,0,85,122,4911.44
804,Female,Support,2,83,148,4153.61
805,Female,Support,0,33,103,3441.23
806,Female,Marketing,0,40,156,4787.05
807,Female,Human Resources,0,47,116,1182.84
808,Male,Accounting,2,40,184,1082.56
809,Male,Services,1,13,104,3336.26
810,Female,Support,1,1,181,2262.84
811,Male,Research and Development,0,94,105,2860.89
812,Male,Business Development,0,67,185,1614.38
813,Female,Legal,0,87,165,4633.93
814,Female,Support,1,2,146,2821.66
815,Male,Legal,3,40,193,1140.89
816,Female,Support,0,18,135,2859.52
817,Female,Marketing,0,64,193,2590.32
818,Female,Services,0,49,114,2756.88
819,Female,Legal,0,82,188,3350.26
820,Male,Research and Development,2,16,150,2221.73
821,Male,Human Resources,1,80,200,3702.73
822,Male,Legal,2,34,192,3824.38
823,Female,Product Management,2,51,183,4574.85
824,Male,Accounting,0,73,112,4205.15
825,Male,Human Resources,3,93,188,2334.29
826,Male,Training,2,50,141,2708.56
827,Female,Business Development,3,91,146,4093.34
828,Male,Legal,3,21,105,1960.7
829,Male,Human Resources,1,23,157,3321.44
830,Male,Sales,2,27,157,2401.21
831,Male,Business Development,2,81,128,2502.43
832,Male,Legal,2,52,111,3415.53
833,Female,Product Management,3,20,121,3376.92
834,Male,Research and Development,2,46,134,4383.55
835,Female,Legal,2,3,170,4163.29
836,Female,Services,2,95,181,1736.83
837,Male,Services,0,30,113,3295.14
838,Female,Research and Development,3,27,121,3787.05
839,Male,Research and Development,1,57,133,1739.16
840,Female,Research and Development,1,68,113,2017.76
841,Female,Sales,1,91,105,3494.98
842,Female,Research and Development,0,75,166,4053.02
843,Female,Engineering,2,88,132,2311.76
844,Female,Support,3,56,196,2342.41
845,Male,Marketing,2,1,106,1376.91
846,Male,Support,1,60,109,1992.28
847,Male,Support,0,89,101,4700.12
848,Male,Training,0,58,117,1674.19
849,Female,Human Resources,1,31,124,1949.07
850,Male,Product Management,2,70,198,4416.03
851,Male,Product Management,1,55,155,4535.18
852,Female,Product Management,0,33,172,2889.69
853,Female,Marketing,1,36,156,3800.28
854,Male,Legal,0,71,104,2098.1
855,Female,Legal,2,40,160,2617.31
856,Female,Accounting,3,52,168,3019.93
857,Male,Support,3,13,137,1820.8
858,Male,Sales,0,76,186,1157.46
859,Female,Sales,1,40,140,1353.83
860,Male,Training,0,3,122,4556.22
861,Male,Legal,2,4,108,2522.42
862,Female,Legal,1,45,196,4535.06
863,Female,Legal,2,50,107,3590.99
864,Female,Product Management,0,63,183,1992.24
865,Female,Human Resources,1,5,170,3854.77
866,Female,Accounting,1,28,108,3083.19
867,Male,Support,2,94,117,3985.14
868,Female,Product Management,0,96,122,2058.74
869,Male,Marketing,1,51,112,3010.91
870,Male,Support,0,93,104,1516.4
871,Male,Legal,0,3,108,3116.23
872,Female,Services,2,58,111,1908.86
873,Female,Product Management,2,90,113,4631.9
874,Male,Training,0,48,195,2838.73
875,Male,Engineering,0,42,156,1036.8
876,Male,Services,2,32,199,1933.78
877,Female,Human Resources,0,44,105,4728.98
878,Female,Business Development,0,98,108,1232.11
879,Female,Marketing,2,16,157,2491.69
880,Male,Business Development,3,27,190,4078.07
881,Male,Human Resources,1,17,161,2433.67
882,Female,Legal,2,34,182,1823.46
883,Male,Legal,2,74,157,1728.82
884,Male,Engineering,1,53,102,2584.04
885,Male,Training,1,46,156,1691.27
886,Female,Business Development,1,58,104,2291.29
887,Female,Legal,2,34,158,1853.33
888,Male,Training,2,55,143,2716.42
889,Male,Marketing,0,75,155,2489.92
890,Female,Research and Development,2,87,200,3105.46
891,Male,Human Resources,0,25,187,2128.6
892,Male,Business Development,1,79,115,4211.64
893,Female,Training,0,4,156,3743.53
894,Female,Accounting,0,96,140,2895.13
895,Male,Research and Development,0,74,185,2710.5
896,Male,Services,0,45,108,3339.75
897,Female,Product Management,3,29,178,4230.79
898,Male,Accounting,1,67,128,1467.51
899,Female,Engineering,3,31,140,2471.81
900,Male,Engineering,2,73,126,4324.39
901,Female,Engineering,1,48,179,1569.05
902,Male,Research and Development,1,79,100,2424.37
903,Male,Legal,2,52,200,1323.3
904,Female,Services,1,41,196,2294.1
905,Male,Business Development,1,35,148,2987.95
906,Male,Marketing,0,8,189,4587.53
907,Female,Services,3,50,143,2976.98
908,Male,Support,2,0,192,1126.6
909,Male,Services,2,12,163,2682.64
910,Male,Support,0,94,151,3488.13
911,Male,Engineering,1,70,184,2072.04
912,Male,Business Development,1,75,174,4687.89
913,Female,Support,2,50,146,2021.49
914,Male,Product Management,0,57,163,3771.65
915,Female,Legal,2,9,140,1096.94
916,Male,Sales,2,95,194,2441.35
917,Female,Support,1,36,143,3137.01
918,Male,Accounting,3,96,139,4303.58
919,Female,Product Management,0,46,148,3135.69
920,Male,Support,1,2,185,4291.64
921,Female,Accounting,1,16,124,3381.8
922,Male,Business Development,2,4,122,2375.96
923,Male,Research and Development,1,27,191,4246.46
924,Male,Business Development,2,29,169,2483.64
925,Female,Product Management,3,91,152,1751.91
926,Male,Engineering,3,89,180,2468.65
927,Male,Research and Development,0,56,140,2662.72
928,Male,Legal,1,57,112,3072.16
929,Male,Services,0,45,130,3578.23
930,Male,Support,0,82,193,1794.03
931,Female,Legal,2,91,194,2794.5
932,Female,Research and Development,3,76,194,1692.06
933,Female,Engineering,2,47,170,1814.45
934,Female,Business Development,1,41,165,3357.73
935,Male,Training,2,1,143,4602.16
936,Female,Training,3,53,161,2428.37
937,Male,Human Resources,0,74,101,3190.0
938,Female,Support,1,53,198,3707.88
939,Male,Training,1,68,131,1543.16
940,Female,Sales,3,28,140,1959.8
941,Female,Research and Development,1,61,150,1036.29
942,Female,Human Resources,3,76,133,2043.06
943,Male,Accounting,3,94,133,3923.81
944,Female,Human Resources,1,36,165,3612.88
945,Female,Engineering,1,92,193,1031.8
946,Male,Training,3,41,183,1964.32
947,Female,Product Management,3,53,109,3086.56
948,Male,Legal,3,46,157,2552.43
949,Female,Accounting,3,2,199,3002.86
950,Male,Services,0,36,189,1839.31
951,Male,Business Development,0,62,112,3783.44
952,Female,Business Development,0,6,145,2160.51
953,Male,Marketing,2,40,100,3371.23
954,Female,Legal,1,52,162,3042.33
955,Male,Support,0,59,156,1233.85
956,Female,Research and Development,1,39,169,3102.63
957,Male,Product Management,0,91,164,4084.74
958,Male,Research and Development,0,76,141,1475.5
959,Female,Engineering,0,89,104,1097.24
960,Female,Support,0,15,102,4014.77
961,Female,Sales,0,81,150,3871.11
962,Female,Product Management,2,66,141,1198.39
963,Female,Research and Development,3,19,177,4302.57
964,Female,Accounting,2,60,127,2200.37
965,Male,Training,2,58,114,3793.77
966,Female,Product Management,3,6,134,4990.52
967,Female,Accounting,2,46,168,4850.0
968,Male,Training,2,6,119,4189.35
969,Male,Product Management,2,72,171,2290.3
970,Male,Sales,1,33,114,1599.2
971,Male,Support,1,12,187,4135.99
972,Male,Marketing,3,58,161,3071.44
973,Male,Human Resources,2,17,147,1888.07
974,Female,Human Resources,2,7,196,1843.82
975,Female,Marketing,3,5,148,1857.77
976,Female,Training,0,27,100,4267.6
977,Male,Training,2,39,117,2722.25
978,Male,Marketing,2,93,117,2834.59
979,Male,Product Management,3,7,196,2989.66
980,Male,Marketing,1,87,199,4973.33
981,Male,Training,0,69,121,4185.83
982,Female,Support,0,25,147,4491.38
983,Female,Support,2,60,129,4993.74
984,Female,Sales,3,6,101,1854.49
985,Male,Training,2,55,124,1607.71
986,Male,Business Development,1,33,172,1667.01
987,Male,Research and Development,3,28,171,1195.15
988,Male,Marketing,0,22,130,3174.6
989,Male,Research and Development,2,48,117,1485.03
990,Male,Sales,2,20,159,1485.19
991,Female,Human Resources,1,16,144,4116.28
992,Female,Training,3,56,197,2984.45
993,Male,Sales,2,15,112,2250.88
994,Male,Services,3,81,186,2648.21
995,Female,Sales,2,89,188,4110.58
996,Male,Engineering,3,22,151,3344.03
997,Female,Research and Development,1,22,117,3378.72
998,Male,Services,2,62,141,1296.92
999,Male,Engineering,1,44,134,3332.14
1000,Female,Services,3,2,148,1238.44
