Id,Voto,Etnia,ConfPol,LibEcon
853,Care,Porsche,4,10
854,Arlyne,Mitsubishi,4,5
855,Olive,Pontiac,5,8
856,Doralynn,Hummer,7,1
857,Alecia,Porsche,4,7
858,Giffy,Dodge,8,3
859,Adolphus,Mercury,10,7
860,Beck,Mitsubishi,3,3
861,Hadley,Dodge,2,2
862,Yurik,GMC,6,7
863,Corbie,Mitsubishi,4,10
864,Nissie,GMC,3,1
865,Byrann,Ford,3,5
866,Barbra,Porsche,6,7
867,Almira,Honda,4,6
868,Gaile,GMC,10,8
869,Flynn,Toyota,2,6
870,Dean,Chevrolet,9,5
871,Donnajean,Dodge,2,4
872,Hedvig,Ford,7,6
873,Chevalier,Volvo,1,9
874,Tabbatha,Nissan,6,1
875,Joya,GMC,10,3
876,Larissa,Mitsubishi,8,7
877,Vi,GMC,9,10
878,Miles,Ford,9,5
879,Daisi,Lexus,8,4
880,Pippa,Dodge,4,4
881,Ysabel,Nissan,1,10
882,Tirrell,Isuzu,4,9
883,Roxana,Jaguar,9,4
884,Cherlyn,Mitsubishi,2,5
885,Murdock,Mazda,1,2
886,Caril,Isuzu,2,9
887,Hubey,Scion,4,9
888,Inna,Honda,3,2
889,Leanora,Ford,8,9
890,Gil,BMW,2,8
891,Germayne,Toyota,3,3
892,Christen,Ford,6,2
893,Doralin,Ford,1,10
894,Court,Infiniti,10,1
895,Estelle,Volkswagen,8,2
896,Scotty,Maserati,8,4
897,Thelma,Jeep,8,6
898,Beatrisa,Chevrolet,9,1
899,Travers,Mercedes-Benz,7,6
900,Sarina,Buick,4,8
901,Patricia,Ford,5,2
902,Peter,Nissan,2,4
903,Bobina,Mercedes-Benz,4,9
904,York,Ford,4,9
905,Krishna,Chevrolet,8,4
906,Jenni,Toyota,8,3
907,Kissiah,Oldsmobile,10,1
908,Jim,Toyota,9,6
909,Lilia,Dodge,1,9
910,Carley,Volvo,5,7
911,Shoshana,BMW,8,5
912,Vernon,BMW,2,7
913,Darice,Ford,1,7
914,Emelina,Volvo,2,2
915,Jeffry,Lincoln,1,8
916,Tirrell,Isuzu,7,2
917,Jere,Scion,7,2
918,Thorstein,Dodge,9,2
919,Larisa,Dodge,10,4
920,Antonino,Audi,3,8
921,Lemuel,Ford,1,1
922,Mariele,Lexus,10,10
923,Andrus,Isuzu,5,9
924,Fleurette,Volkswagen,1,9
925,Welby,Nissan,1,2
926,Cheston,Chevrolet,4,9
927,Ertha,Pontiac,10,6
928,Garrett,MINI,1,3
929,Tait,Acura,5,1
930,Monique,Chevrolet,10,6
931,Erie,Chevrolet,5,4
932,Yvette,Ford,10,6
933,Kevyn,Honda,4,6
934,Kittie,Toyota,7,8
935,Bronson,Lexus,1,9
936,Melloney,Kia,5,4
937,Ulises,Mitsubishi,7,4
938,Cam,Infiniti,7,1
939,Brietta,Chevrolet,4,10
940,Faye,Dodge,2,5
941,Morgen,Toyota,10,2
942,Magnum,GMC,7,9
943,Alphonso,Honda,7,9
944,Genia,Mazda,1,1
945,Terra,Toyota,7,1
946,Sandra,Mercedes-Benz,1,3
947,Gerhard,Mercury,7,6
948,Margret,Lexus,4,3
949,Christi,Chevrolet,1,1
950,Elias,Volvo,8,4
951,Gus,Chevrolet,7,4
952,Terrell,Mazda,3,9
953,Issie,Plymouth,1,3
954,Winonah,Lotus,1,8
955,Percy,Nissan,9,9
956,Carree,Chevrolet,8,10
957,Pernell,Mazda,7,6
958,Daniel,Chevrolet,2,3
959,Meryl,Suzuki,8,7
960,Town,Lamborghini,3,4
961,Chariot,Chevrolet,6,4
962,Nevin,Volvo,1,1
963,Silas,Ford,8,8
964,Eda,Mercedes-Benz,3,2
965,Naoma,Porsche,3,2
966,Luca,Lamborghini,9,4
967,Berna,Jeep,9,7
968,Jenda,Subaru,4,8
969,Ileana,Geo,9,9
970,Katerine,Mercedes-Benz,6,2
971,Christean,Plymouth,7,3
972,Patricia,Chrysler,7,8
973,Dacia,Subaru,6,2
974,Sherri,Chevrolet,2,10
975,Aldon,Citroën,4,2
976,Salem,Dodge,10,3
977,Baird,Ford,7,7
978,Christabel,Mitsubishi,1,5
979,Tana,Nissan,2,2
980,Jemmie,GMC,10,7
981,Abbey,Ford,5,10
982,Kyrstin,Oldsmobile,9,5
983,Natasha,Subaru,4,3
984,Jeannine,Toyota,1,4
985,Samuele,Honda,9,1
986,Giff,Dodge,3,6
987,Winnifred,Suzuki,2,10
988,Calypso,Honda,5,5
989,Beryl,BMW,7,4
990,Christyna,Mercedes-Benz,4,7
991,Dredi,Subaru,10,4
992,Delmore,Mercury,4,10
993,Lorinda,Ford,8,10
994,Goldarina,Chevrolet,8,9
995,Charley,Eagle,6,10
996,Dix,Dodge,7,4
997,Kim,Nissan,2,10
998,Brnaby,Land Rover,4,9
999,Katya,Audi,7,3
1000,Myrvyn,Nissan,8,2
